gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,65,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),61.81445981193418,1220.054943457117,No
Female,0,Yes,No,21,Yes,No,No,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,111.91243418725237,4122.561694680577,Yes
Female,1,No,No,52,No,Yes,No,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Credit card (automatic),56.54708741301943,3833.3725970671458,Yes
Male,1,Yes,No,12,No,No,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Mailed check,24.426746105778,4254.0735156273795,No
Female,1,No,No,60,No,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,115.86251385209891,465.7189873866378,Yes
Male,1,No,Yes,56,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,62.46752803849567,3532.747113537609,Yes
Male,0,No,No,44,Yes,Yes,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,94.07961119112882,4284.855679312854,No
Female,0,No,Yes,1,Yes,No,DSL,No internet service,Yes,No,No,No,No,Two year,Yes,Mailed check,49.77121070684766,737.1609701022734,No
Male,1,No,Yes,53,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,One year,No,Mailed check,79.15674884893511,1138.3970588186799,Yes
Male,1,Yes,Yes,34,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.166703532951104,3211.1201743678394,Yes
Female,1,No,Yes,7,No,No phone service,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),48.86667258389612,1133.2616875900135,No
Female,1,Yes,Yes,35,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,26.981136834887035,5712.621154742516,Yes
Male,1,No,No,29,No,Yes,No,No,Yes,No internet service,No,No,Yes,Two year,No,Bank transfer (automatic),85.92545801610589,2784.591735858807,Yes
Male,0,Yes,Yes,68,No,Yes,No,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,36.413824523123644,7715.47478050434,Yes
Male,1,Yes,Yes,66,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),46.449584539476916,7916.464226572443,No
Female,0,No,Yes,1,Yes,No phone service,No,Yes,No,No internet service,Yes,No,No,Month-to-month,No,Mailed check,52.61438361557474,104.94666168796792,Yes
Male,1,No,No,24,No,Yes,DSL,No internet service,No,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),109.05887123194505,2663.483930880558,No
Male,1,No,No,6,No,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.34416059894173,5775.132226325365,Yes
Female,1,No,No,22,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),82.16969667302425,2139.248235978922,Yes
Male,0,No,No,35,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,100.89274545294673,226.6083358760122,Yes
Female,1,Yes,No,20,Yes,No,No,No internet service,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),60.49771098493531,3161.6671605166966,No
Female,1,No,Yes,22,No,Yes,No,No internet service,No internet service,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,110.97633183034675,7615.055830166153,No
Male,1,Yes,No,26,No,Yes,DSL,Yes,Yes,No,Yes,No,No internet service,Two year,No,Bank transfer (automatic),81.26826821817386,4964.553295365774,Yes
Male,1,No,No,38,Yes,No phone service,No,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,41.38829567362113,3081.942929937525,Yes
Female,0,Yes,No,26,No,No phone service,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.1156084193158,165.15913136032447,Yes
Male,1,No,Yes,36,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No,Two year,No,Electronic check,61.63938925580194,6036.114485976919,No
Male,0,No,Yes,5,Yes,No phone service,DSL,No internet service,No,No,No,No,Yes,Month-to-month,No,Electronic check,110.97063017099394,545.2153350907874,Yes
Female,1,No,No,37,Yes,No phone service,No,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Electronic check,37.978361269265406,2859.9096018912323,Yes
Female,1,No,No,62,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),27.98116812968399,2778.5879529978642,Yes
Female,0,Yes,No,11,No,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),85.63139690923038,1618.1696701661924,No
Male,0,No,No,12,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Electronic check,80.50066685210189,4432.516786636913,No
Male,1,Yes,Yes,32,Yes,No,No,Yes,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),40.50563419102761,1128.34559112204,Yes
Female,1,No,No,21,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,38.92449265747561,3734.7481690248883,No
Male,1,Yes,No,28,Yes,No phone service,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),51.8212228700834,3955.533932414798,No
Male,0,No,No,65,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),88.98276920325756,5660.942238577783,No
